#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest04","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest05","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","RollingTest06","NotRegistered"
"Microsoft Databricks","Microsoft.Databricks","EnableDatabricks20220401PreviewApiVersion","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","BypassPreflightValidation","NotRegistered"
"Microsoft Event Grid","Microsoft.eventgrid","PartnerAuthorizationFeature","NotRegistered"
"-","Microsoft.DataReplication","PPEAccess","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","geoRestoreForNonZRServer","NotRegistered"
"Microsoft Logic","Microsoft.Logic","ISVSubscription","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKSInfinibandSupport","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","EnableAPIServerVnetIntegrationPreview","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enableBackupAndRestoreBlade","NotRegistered"
"Microsoft Storage","Microsoft.Storage","AllowDataSharing","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowSpecificIpAddressInPublicIP","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","ContainerScaleSetsPreview1","NotRegistered"
"Microsoft Compute","Microsoft.Compute","VMScaleSetFlexPriorityMix","NotRegistered"
"Microsoft Compute","Microsoft.Compute","UseForceDeleteOnEviction","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SpotTryRestoreFastRestoration","NotRegistered"
"-","GitHub.Enterprise","PreviewRegion","NotRegistered"
"Microsoft Search","Microsoft.Search","HOBOv2Support","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDB","DeleteAllItemsByPartitionKey","NotRegistered"
"Microsoft Network","Microsoft.Network","FastPathMigrationEnabled","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","FormRecognizer.NeuralLimimt50","NotRegistered"
"Microsoft Search","Microsoft.Search","InternalFeatures","NotRegistered"
"Microsoft Compute","Microsoft.Compute","EncryptionAtRestWithCrossTenantKey","NotRegistered"
"-","Test.shoebox","TestInProduction","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKS-KedaPreview","NotRegistered"
"Microsoft.PlayFab","Microsoft.PlayFab","scus","NotRegistered"
"Microsoft.PlayFab","Microsoft.PlayFab","eus2","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDb","APIForMongoDbRBAC","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDb","APIForMongoDbUniqueReindex","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","EnableZtna","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","Routing-SecondaryCanaryEastUS2EUAP","NotRegistered"
"Microsoft.MobileNetwork","Microsoft.MobileNetwork","Routing-SecondaryCanaryCentralUSEUAP","NotRegistered"
"Microsoft.AlertsManagement","microsoft.alertsmanagement","prometheusRulesInt","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","CustomConfiguration","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","citusLargeScaleStorage","NotRegistered"
"Microsoft.Syntex","microsoft.syntex","PrivatePreview","NotRegistered"
"Microsoft.SecurityDevOps","Microsoft.SecurityDevOps","AlphaRegions","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableEditPrivateDns","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","CustomCATrustPreview","NotRegistered"
"Microsoft.ApiSecurity","Microsoft.ApiSecurity","PP2CanaryAccessDEV","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableHideCitusConInformationBanner","NotRegistered"
"Azure Log Analytics","Microsoft.OperationalInsights","NewRegionsTest","NotRegistered"
"Microsoft.ApiSecurity","Microsoft.ApiSecurity","PP2CanaryCentralUSAccessDEV","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","EnableWorkloadIdentityPreview","NotRegistered"
"Microsoft Event Grid","Microsoft.EventGrid","qac-9abfce26-7dfa-49fe-9a8d-a3d6cb13afd6","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","FormRecognizer.Neural100","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFSMBNonBrowsable","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFSMBAccessBasedEnumeration","NotRegistered"
"Microsoft Cache","Microsoft.Cache","qac-59fe8ab9-6707-4b3c-afb0-f5ed4214b531","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","enableHideFreeAccountMessages","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enableHideFreeAccountMessages","NotRegistered"
"Microsoft Guest Configuration","Microsoft.GuestConfiguration","TestParticipation","NotRegistered"
"Microsoft.Kusto","microsoft.kusto","qac-e02603c6-3469-498a-994c-b0df4ceae1d0","NotRegistered"
"Microsoft API Management","Microsoft.ApiManagement","qac-6ba70dfa-ead9-4cc1-b894-049f8a17c22b","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SpotAsHarvestShrink","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SpotAsHarvestExpand","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SpotAsHarvestShrinkByDefault","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SpotAsHarvestExpandByDefault","NotRegistered"
"Microsoft Compute","Microsoft.Compute","ADHHarvestShrink","NotRegistered"
"Microsoft Logic","Microsoft.Logic","IntegrationAccountArtifactsLargeCapacity","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","FormRecognizer.Neural50","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","hidePostgreSql9.6Version","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","ArchiveV1SmartTiering","NotRegistered"
"MicrosoftElasticSan","Microsoft.ElasticSan","AllowValidationRegions","NotRegistered"
"Microsoft ContainerRegistry","Microsoft.ContainerRegistry","qac-3c737fd7-1389-4626-868f-c18df5790cb6","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowAppGwWafCustomBlockResponse","NotRegistered"
"Microsoft Guest Configuration","Microsoft.GuestConfiguration","TestParticipation2","NotRegistered"
"Microsoft Guest Configuration","Microsoft.GuestConfiguration","TestParticipation3","NotRegistered"
"Microsoft Guest Configuration","Microsoft.GuestConfiguration","TestParticipation4","NotRegistered"
"Microsoft Guest Configuration","Microsoft.GuestConfiguration","TestParticipation5","NotRegistered"
"Microsoft Devices","Microsoft.Devices","BlockedRegion","NotRegistered"
"Microsoft Azure Monitor","microsoft.insights","actiongroupswedenc","NotRegistered"
"PaloAltoNetworks.Cloudngfw","PaloAltoNetworks.Cloudngfw","PAN-Firewall","NotRegistered"
"Microsoft.PlayFab","Microsoft.PlayFab","pfci","NotRegistered"
"Microsoft Azure Monitor","microsoft.insights","qac-53601923-fb1a-4937-bcf2-ae71190acf34","NotRegistered"
"Microsoft Logic","Microsoft.Logic","IseCreationInRestrictedRegionAllowed","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","EnableAzureDiskCSIDriverV2","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKS-ExtensionRegionParity","NotRegistered"
"Microsoft Automation","Microsoft.Automation","qac-57605519-c17a-4786-a6c8-069635a2ee48","NotRegistered"
"Microsoft.BackupSolutions","Microsoft.BackupSolutions","PublicPreviewTesting","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowThrottleByOperationCounter","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","FormRecognizer.Neural5","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowIpv6ApplicationGateway","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","TrustedAccessPreview","NotRegistered"
"Microsoft Container Instance","Microsoft.ContainerInstance","snpEnabledContainerGroup","NotRegistered"
"Microsoft.ApiSecurity","Microsoft.ApiSecurity","PP2PPE","NotRegistered"
"Microsoft Network","Microsoft.Network","EnableDefaultLoadBalancerForFastPathVirtualNetworks","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","FormRecognizer.Neural150","NotRegistered"
