ProviderNamespace                                        ProviderName                             FeatureName
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableHideCitusConInformationBanner
Azure Log Analytics                                      Microsoft.OperationalInsights            NewRegionsTest
-                                                        Microsoft.ApiSecurity                    PP2CanaryCentralUSAccessDEV
Microsoft Event Grid                                     Microsoft.EventGrid                      qac-9abfce26-7dfa-49fe-9a8d-a3d6cb13afd6
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.Neural100
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFSMBNonBrowsable
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFSMBAccessBasedEnumeration
Microsoft Cache                                          Microsoft.Cache                          qac-59fe8ab9-6707-4b3c-afb0-f5ed4214b531
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableHideFreeAccountMessages
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableHideFreeAccountMessages
Microsoft Guest Configuration                            Microsoft.GuestConfiguration             TestParticipation
Microsoft.Kusto                                          microsoft.kusto                          qac-e02603c6-3469-498a-994c-b0df4ceae1d0
Microsoft API Management                                 Microsoft.ApiManagement                  qac-6ba70dfa-ead9-4cc1-b894-049f8a17c22b
Microsoft Compute                                        Microsoft.Compute                        SpotAsHarvestShrink
Microsoft Compute                                        Microsoft.Compute                        SpotAsHarvestExpand
Microsoft Compute                                        Microsoft.Compute                        SpotAsHarvestShrinkByDefault
Microsoft Compute                                        Microsoft.Compute                        SpotAsHarvestExpandByDefault
Microsoft Compute                                        Microsoft.Compute                        ADHHarvestShrink
Microsoft Logic                                          Microsoft.Logic                          IntegrationAccountArtifactsLargeCapacity
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.Neural50
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                hidePostgreSql9.6Version
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               ArchiveV1SmartTiering
MicrosoftElasticSan                                      Microsoft.ElasticSan                     AllowValidationRegions
Microsoft ContainerRegistry                              Microsoft.ContainerRegistry              qac-3c737fd7-1389-4626-868f-c18df5790cb6
Microsoft Network                                        Microsoft.Network                        AllowAppGwWafCustomBlockResponse
Microsoft Guest Configuration                            Microsoft.GuestConfiguration             TestParticipation2
Microsoft Guest Configuration                            Microsoft.GuestConfiguration             TestParticipation3
Microsoft Guest Configuration                            Microsoft.GuestConfiguration             TestParticipation4
Microsoft Guest Configuration                            Microsoft.GuestConfiguration             TestParticipation5
Microsoft Devices                                        Microsoft.Devices                        BlockedRegion
Microsoft Azure Monitor                                  microsoft.insights                       actiongroupswedenc
PaloAltoNetworks.Cloudngfw                               PaloAltoNetworks.Cloudngfw               PAN-Firewall
-                                                        Microsoft.PlayFab                        pfci
Microsoft Azure Monitor                                  microsoft.insights                       qac-53601923-fb1a-4937-bcf2-ae71190acf34
Microsoft Logic                                          Microsoft.Logic                          IseCreationInRestrictedRegionAllowed
Microsoft Container Service                              microsoft.ContainerService               EnableAzureDiskCSIDriverV2
Microsoft Container Service                              microsoft.ContainerService               AKS-ExtensionRegionParity
Microsoft Automation                                     Microsoft.Automation                     qac-57605519-c17a-4786-a6c8-069635a2ee48
Microsoft.BackupSolutions                                Microsoft.BackupSolutions                PublicPreviewTesting
Microsoft Network                                        Microsoft.Network                        AllowThrottleByOperationCounter
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.Neural5
Microsoft Network                                        Microsoft.Network                        AllowIpv6ApplicationGateway
Microsoft Container Service                              microsoft.ContainerService               TrustedAccessPreview
Microsoft Container Instance                             Microsoft.ContainerInstance              snpEnabledContainerGroup
-                                                        Microsoft.ApiSecurity                    PP2PPE
Microsoft Network                                        Microsoft.Network                        EnableDefaultLoadBalancerForFastPathVirtualNetworks
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.Neural150
Microsoft Logic                                          Microsoft.Logic                          LogicApps-2022-05-RegionsPreview
-                                                        Microsoft.ApiSecurity                    PP2CanaryAccessPROD
Microsoft Network                                        Microsoft.Network                        SupportOutboundNatVirtualIPForCloudServices
Microsoft Azure Monitor                                  Microsoft.Insights                       EnableCustomMetricsV2
Microsoft Azure Monitor                                  Microsoft.Insights                       EnablePercentilesMAC
Microsoft Network                                        Microsoft.Network                        AFWEnableTcpConnectionLogging
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFHanaHonorPinning
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFHonorPinning
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.Neural4500
-                                                        Microsoft.PlayFab                        Microsoft.PlayFab
Microsoft Network                                        Microsoft.Network                        EnableSharedVNet
-                                                        Microsoft.PlayFab                        segments
Microsoft DocumentDB                                     Microsoft.DocumentDB                     ThroughputRedistributionAcrossPartitions
Microsoft DocumentDB                                     Microsoft.DocumentDB                     Serverless1TBContainer
Microsoft.Easm                                           Microsoft.Easm                           EasmAccess
Microsoft Resources                                      Microsoft.Resources                      ItalyCentral
Microsoft Resources                                      Microsoft.Resources                      TagNamespace
Microsoft Cognitive Services                             Microsoft.CognitiveServices              Face.HighRisk
Microsoft Cognitive Services                             Microsoft.CognitiveServices              LimitedAccess.HighRisk
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableBusinessCriticalWorkloadType
Microsoft.AVS                                            Microsoft.AVS                            AddOnHCXEEMetering
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFPopulateAvailabilityZone
Microsoft Network                                        Microsoft.Network                        AllowAVNMPreviewJuly2022
Microsoft DocumentDB                                     Microsoft.DocumentDB                     BurstCapacity1
Microsoft.Kusto                                          Microsoft.Kusto                          UseComputeSubscriptionEUDB
Microsoft Cognitive Services                             Microsoft.CognitiveServices              FormRecognizer.PodMode.msform
Microsoft Web Apps                                       Microsoft.Web                            qac-df36aee8-c644-400b-a0ab-fd0f1191211d
Machine Learning Services Resource Provider              Microsoft.MachineLearningServices        registriesprivatepreview
Microsoft Compute                                        Microsoft.Compute                        ServiceGroupARCOPreview
Microsoft Network                                        Microsoft.Network                        EnableIPV6CAAllocationByNRP
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               EdgeZoneVMBackupPreview
Microsoft Network                                        Microsoft.Network                        EnableNameReservation
Microsoft Compute                                        Microsoft.Compute                        GenerateUniqueVhdIdForAllDisks
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     showAdvisorRecommendations
Microsoft.HDInsight                                      Microsoft.HDInsight                      qac-6c014cb4-2247-46e7-a4b1-103991f0dc04
Microsoft Storage                                        Microsoft.Storage                        ColdTier
Microsoft Storage                                        Microsoft.Storage                        AllowSettingSystemTime
Microsoft Storage                                        Microsoft.Storage                        SetFolderExpiry
Microsoft.SignalRService                                 Microsoft.SignalRService                 qac-624c481d-e51c-4016-a522-fbe180d125fc
Microsoft.Easm                                           Microsoft.Easm                           EasmRoutingPPE
Microsoft Event Grid                                     Microsoft.eventgrid                      EventGridFeatures2022
Microsoft.IoTFirmwareDefense                             Microsoft.IoTFirmwareDefense             Staging
Microsoft Compute                                        Microsoft.Compute                        SIGCVMSupportedPreview
Microsoft Network                                        Microsoft.Network                        DnsppProd
Microsoft Network                                        Microsoft.Network                        DnsppReleaseCandidate
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     showPendingRestartInfobox
Microsoft Network                                        Microsoft.Network                        SupportVnetPeeringAutoUpdateAfterVNetEncryptionChange
Microsoft Container Service                              microsoft.ContainerService               AzureOverlayPreview
Microsoft Container Service                              microsoft.ContainerService               AKS-PrometheusAddonPreview
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableConnectSettings
Microsoft App Configuration                              Microsoft.Appconfiguration               SwitzerlandWestPreview
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFManagedHsmEncryption
Azure Log Analytics                                      Microsoft.OperationalInsights            SearchOverADLS
Microsoft Azure Monitor                                  Microsoft.Insights                       PrometheusPreview
Microsoft Network                                        Microsoft.Network                        AFWEnableStructuredLogs
Microsoft Network                                        Microsoft.Network                        AFWEnableIPv6
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableSameZoneHA
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableCitusCrossRegionReplica
Azure Log Analytics                                      Microsoft.OperationalInsights            qac-fe63f845-4aee-4313-9b2e-3a8a2fe61897
Microsoft Azure Monitor                                  Microsoft.Insights                       qac-fe63f845-4aee-4313-9b2e-3a8a2fe61897
Microsoft Container Service                              microsoft.ContainerService               WindowsNetworkPolicyPreview
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                enableCrossRegionReplica
Microsoft Container Service                              microsoft.ContainerService               EnableBlobCSIDriver
